Expected years of schooling;Mean years of schooling;Education_Index;ADM0_A3
18.9;13.9;0.963630876;ISL
18.8;13.1;0.937265406;NOR
16.7;13.9;0.927957649;CHE
18.7;13.0;0.93424402;DNK
17.3;14.3;0.95735737;DEU
19.0;12.7;0.924677525;SWE
20.7;12.9;0.928999996;AUS
16.9;12.4;0.880996142;HKG
18.6;12.7;0.922331563;NLD
19.0;12.7;0.922988348;BEL
19.2;11.7;0.890833319;IRL
19.5;13.0;0.932654182;FIN
16.7;12.0;0.864729966;SGP
17.8;13.5;0.944418589;GBR
15.6;13.0;0.866377497;ARE
15.9;13.9;0.903673882;CAN
15.4;12.4;0.841792522;LIE
19.3;12.9;0.929433269;NZL
15.9;13.9;0.905972227;USA
16.6;12.7;0.885702204;KOR
17.5;13.0;0.917183701;SVN
16.3;12.4;0.864389968;AUT
15.5;12.7;0.853689892;JPN
15.9;12.4;0.855963684;MLT
14.4;12.6;0.818477682;LUX
16.1;11.8;0.839275576;FRA
14.9;13.5;0.865990942;ISR
17.8;10.8;0.85382391;ESP
16.8;13.0;0.898592207;CZE
16.7;10.8;0.825220917;ITA
14.6;11.4;0.784215743;SMR
14.5;11.6;0.790966389;AND
16.2;12.6;0.869012377;CYP
20.8;11.6;0.885128547;GRC
16.7;13.2;0.9035703;POL
16.0;13.6;0.895623872;EST
16.9;11.6;0.857698439;SAU
15.9;11.1;0.813421943;BHR
16.5;13.6;0.910764177;LTU
17.5;9.7;0.80918682;PRT
16.3;12.1;0.857286008;HRV
16.5;13.4;0.904832738;LVA
13.1;10.8;0.724032238;QAT
14.9;13.1;0.851963738;SVK
16.9;11.3;0.846157917;CHL
15.5;12.3;0.840759643;HUN
18.8;11.2;0.872819395;ARG
15.5;12.8;0.857367789;MNE
17.5;10.5;0.836998865;URY
13.4;11.9;0.769647778;OMN
19.8;9.0;0.799541455;TUR
15.9;7.6;0.69398469;KWT
15.5;11.6;0.818888862;ATG
18.2;11.2;0.873331667;SYC
15.3;11.5;0.807279917;BGR
14.1;11.6;0.775357792;ROU
16.8;12.7;0.888741917;GEO
18.4;10.8;0.861646693;KNA
13.3;10.8;0.730891971;PAN
13.7;9.3;0.689917218;BRN
14.0;12.5;0.807367402;KAZ
16.3;8.8;0.748981663;CRI
15.0;11.6;0.805895049;SRB
13.2;12.4;0.779920833;RUS
13.7;12.3;0.792257157;BLR
11.9;12.8;0.757463404;BHS
12.7;11.1;0.721788687;MYS
14.8;10.2;0.751595534;MKD
14.4;11.3;0.777717332;ARM
16.6;9.9;0.792834169;BRB
14.5;10.2;0.742236754;ALB
