Region;GDP 2022 (BFS);Population 1.1.2025 (BFS);GDP per Capita;;;;;
Zürich;1.64495E+11;1620020;101538.7515;;;;;164’495
Bern;89362154390;1071216;83421.2282;;;;;89’362
Lucerne;31924234500;437944;72895.70014;;;;;31’924
Uri;2171116300;38275;56724.13586;;;;;2’171
Schwyz;11622675910;168931;68801.32072;;;;;11’623
Obwalden;2888793770;39662;72835.30256;;;;;2’889
Nidwalden;3309652810;45345;72988.26354;;;;;3’310
Glarus;3117553550;42371;73577.53062;;;;;3’118
Zug;25176262910;133739;188249.2236;;;;;25’176
Fribourg;21423644090;346674;61797.66608;;;;;21’424
Solothurn;20762725060;289792;71646.99184;;;;;20’763
Basel-Stadt;41203459090;201384;204601.4534;;;;;41’203
Basel-Landschaft;22811960900;301323;75706.00618;;;;;22’812
Schaffhausen;8541543460;88667;96332.83476;;;;;8’542
Appenzell Ausserrhoden;3748998430;56705;66114.0716;;;;;3’749
Appenzell Innerrhoden;1237718580;16733;73968.7193;;;;;1’238
Sankt Gallen;44588822960;540036;82566.38994;;;;;44’589
Graubünden;16725530020;206138;81137.53903;;;;;16’726
Aargau;47538210860;735808;64606.81436;;;;;47’538
Thurgau;20291588620;299509;67749.5121;;;;;20’292
Ticino;36083616750;358903;100538.6323;;;;;36’084
Vaud;64500130220;855106;75429.39731;;;;;64’500
Valais;21807304230;371288;58734.20156;;;;;21’807
Neuchâtel;18724213170;179518;104302.706;;;;;18’724
Genève;61231334170;531102;115291.1007;;;;;61’231
Jura;5799196750;74840;77487.93092;;;;;5’799
