Country,Betweener,One-timer,Superuser
Argentina,103,7,0
Australia,357,0,0
Austria,2382,27,3838
Brazil,118,30,0
Canada,401,12,1762
Chile,933,14,0
Costa Rica,547,82,0
Cyprus,542,0,0
Estonia,1680,1,0
France,2269,24,0
Germany,6594,158,5968
Greece,601,11,0
Guatemala,235,2,0
Hungary,176,5,1
Indonesia,118,6,0
Ireland,959,7,0
Italy,1412,12,7
Kyrgyzstan,783,2,0
Malaysia,155,1,0
Malta,141,1,0
Netherlands,873,51,2
Norway,127,26,0
Philippines,29,75,0
Portugal,407,2,1
Slovakia,109,1,0
Spain,238,6,1367
Sweden,245,4,0
Switzerland,9778,639,13669
United Kingdom,2474,34,2911
United States of America,1930,61,0
