Country,Betweener,One-timer,Superuser
Argentina,5.59,3.35,-6.93
Australia,11.7,-2.62,-12.49
Austria,-17.4,-8.51,21.19
Brazil,4.19,16.08,-8.04
Canada,-22.72,-4.62,26.31
Chile,18.43,-0.99,-20.35
Costa Rica,11.09,20.08,-16.58
Cyprus,14.41,-3.23,-15.39
Estonia,25.35,-5.51,-27.11
France,28.96,-3.03,-31.66
Germany,-3.85,-5.56,5.47
Greece,14.71,-0.23,-16.36
Guatemala,9.35,-1.2,-10.18
Hungary,7.75,0.8,-8.81
Indonesia,6.16,2.34,-7.36
Ireland,18.93,-2.69,-20.55
Italy,22.74,-2.96,-24.73
Kyrgyzstan,17.25,-3.37,-18.52
Malaysia,7.62,-1.16,-8.26
Malta,7.26,-1.05,-7.88
Netherlands,16.48,7.85,-20.02
Norway,4.81,13.43,-8.18
Philippines,-3.66,51.57,-6.74
Portugal,12.33,-2.1,-13.31
Slovakia,6.36,-0.77,-6.93
Spain,-21.55,-4.49,24.97
Sweden,9.42,-0.36,-10.43
Switzerland,-28.97,8.13,30.6
United Kingdom,-8.69,-6.89,11.14
United States of America,25.77,3.66,-29.5
