latitude,longitude,Country,Region,streak_days,streak_start,streak_end,n_users,user_ids,n_obs,Category
47.394939,8.733537,Switzerland,Zürich,2229.0,2020-05-22,2026-06-29,1,[28919],1983,virtual scale
47.789612,13.068625,Austria,Salzburg,2189.0,2018-08-17,2024-08-14,3,"[2316, 7867, 2005]",904,virtual scale
47.395523,8.73067,Switzerland,Zürich,2055.0,2020-11-12,2026-06-29,1,[28919],1857,virtual scale
51.060439,-115.328485,Canada,Alberta,1893.0,2019-04-21,2024-06-26,2,"[15185, 93483]",1743,temporary stream
49.375012,8.888853,Germany,Baden-Württemberg,1854.0,2020-06-26,2025-07-24,1,[30178],1785,physical scale
49.375062,8.889207,Germany,Baden-Württemberg,1822.0,2020-07-28,2025-07-24,1,[30178],1761,physical scale
46.9904,7.450782,Switzerland,Bern,1579.0,2017-10-25,2022-02-20,1,[3065],495,virtual scale
46.991798,7.464945,Switzerland,Bern,1442.0,2018-03-11,2022-02-20,1,[3065],271,temporary stream
51.562064,-0.867595,United Kingdom,Buckinghamshire,1429.0,2022-01-20,2025-12-19,1,[27610],104,temporary stream
51.580956,-0.87388,United Kingdom,Buckinghamshire,1429.0,2022-01-20,2025-12-19,1,[27610],105,temporary stream
47.726072,13.065014,Austria,Salzburg,1429.0,2017-12-25,2021-11-23,3,"[2316, 4264, 5659]",1125,virtual scale
51.581133,-0.873914,United Kingdom,Buckinghamshire,1429.0,2022-01-20,2025-12-19,1,[27610],105,temporary stream
51.608782,-0.881946,United Kingdom,Buckinghamshire,1429.0,2022-01-20,2025-12-19,1,[27610],105,temporary stream
51.602487,-0.880738,United Kingdom,Buckinghamshire,1429.0,2022-01-20,2025-12-19,1,[27610],106,temporary stream
51.571622,-0.870799,United Kingdom,Buckinghamshire,1429.0,2022-01-20,2025-12-19,2,"[27610, 93344]",111,temporary stream
51.574168,-0.871882,United Kingdom,Buckinghamshire,1429.0,2022-01-20,2025-12-19,1,[27610],106,temporary stream
48.305487,7.869942,Germany,Baden-Württemberg,1418.0,2020-10-07,2024-08-25,2,"[33894, 11596]",234,virtual scale
52.193365,9.082108,Germany,Niedersachsen,1401.0,2020-08-30,2024-07-01,1,[31773],304,temporary stream
47.03009,7.51161,Switzerland,Bern,1339.0,2018-06-19,2022-02-17,1,[3065],431,virtual scale
47.391386,8.560455,Switzerland,Zürich,1300.0,2020-11-03,2024-05-26,14,"[11370, 35073, 35124, 29636, 6542, 2203, 38289, 39558, 38316, 2258, 38059, 59554, 76739, 88137]",269,temporary stream
48.328912,16.214674,Austria,Niederösterreich,1257.0,2020-07-11,2023-12-20,1,[29542],682,temporary stream
44.236064,-69.099955,United States of America,Maine,1141.0,2023-05-15,2026-06-29,2,"[82037, 108071]",381,physical scale
46.989099,7.462622,Switzerland,Bern,1141.0,2019-01-06,2022-02-20,1,[3065],203,soil moisture
51.558765,-0.868546,United Kingdom,Buckinghamshire,1106.0,2022-01-20,2025-01-30,1,[27610],82,temporary stream
48.327366,16.216394,Austria,Niederösterreich,1066.0,2020-07-28,2023-06-29,2,"[29542, 32535]",303,virtual scale
51.602152,-0.880616,United Kingdom,Buckinghamshire,1023.0,2023-03-02,2025-12-19,1,[27610],76,temporary stream
47.393323,8.553011,Switzerland,Zürich,998.0,2020-10-01,2023-06-26,34,"[11370, 2267, 35124, 29636, 35961, 34459, 6542, 37064, 11596, 38386, 38602, 38660, 2203, 38316, 39502, 39784, 39906, 38051, 44485, 48606, 52836, 52894, 36126, 6097, 29918, 59117, 63890, 6400, 64580, 53508, 70957, 73050, 78311, 83061]",258,temporary stream
48.179503,16.259209,Austria,Wien,994.0,2023-08-09,2026-04-29,2,"[476, 829]",292,temporary stream
46.990429,7.450526,Switzerland,Bern,928.0,2019-08-07,2022-02-20,1,[3065],283,virtual scale
51.585528,-0.874559,United Kingdom,Buckinghamshire,883.0,2022-01-20,2024-06-21,1,[27610],68,temporary stream
46.461532,6.837685,Switzerland,Vaud,865.0,2021-05-21,2023-10-03,2,"[39422, 52314]",343,virtual scale
47.391693,8.555383,Switzerland,Zürich,826.0,2020-10-01,2023-01-05,22,"[11370, 2267, 35124, 29636, 35969, 36554, 11596, 37064, 37794, 2203, 38051, 38055, 6542, 39177, 38316, 39300, 39906, 52522, 53508, 53509, 57328, 36126]",207,temporary stream
47.395013,8.551618,Switzerland,Zürich,826.0,2020-10-01,2023-01-05,18,"[11370, 2267, 35124, 29636, 36554, 2203, 6542, 38316, 39906, 45549, 57568, 57523, 57517, 57582, 59268, 11596, 71939, 71946]",215,temporary stream
