latitude,longitude,Country,streak_months,streak_start,streak_end,n_users,user_ids,n_obs,Category
47.789612,13.068625,Austria,74.0,2018-08,2024-09,3,"[2316, 7867, 2005]",911,virtual scale
51.580956,-0.87388,United Kingdom,73.0,2020-04,2026-04,1,[27610],157,temporary stream
51.608782,-0.881946,United Kingdom,73.0,2020-04,2026-04,1,[27610],156,temporary stream
51.574168,-0.871882,United Kingdom,73.0,2020-04,2026-04,1,[27610],158,temporary stream
51.602152,-0.880616,United Kingdom,73.0,2020-04,2026-04,1,[27610],156,temporary stream
51.602487,-0.880738,United Kingdom,73.0,2020-04,2026-04,2,"[27610, 34459]",158,temporary stream
51.562064,-0.867595,United Kingdom,73.0,2020-04,2026-04,1,[27610],155,temporary stream
51.581133,-0.873914,United Kingdom,73.0,2020-04,2026-04,2,"[27610, 34459]",157,temporary stream
47.394939,8.733537,Switzerland,72.0,2020-05,2026-04,1,[28919],1927,virtual scale
51.571622,-0.870799,United Kingdom,69.0,2020-04,2025-12,2,"[27610, 93344]",155,temporary stream
47.395523,8.73067,Switzerland,66.0,2020-11,2026-04,1,[28919],1801,virtual scale
52.193365,9.082108,Germany,63.0,2020-09,2025-11,1,[31773],377,temporary stream
51.060439,-115.328485,Canada,63.0,2019-04,2024-06,2,"[15185, 93483]",1743,temporary stream
49.375062,8.889207,Germany,61.0,2020-07,2025-07,1,[30178],1761,physical scale
49.375012,8.888853,Germany,61.0,2020-07,2025-07,1,[30178],1785,physical scale
46.9904,7.450782,Switzerland,54.0,2017-09,2022-02,1,[3065],499,virtual scale
47.726072,13.065014,Austria,54.0,2017-12,2022-05,3,"[2316, 4264, 5659]",1155,virtual scale
48.111849,-1.765761,France,52.0,2021-02,2025-05,1,[16741],53,temporary stream
48.098138,-1.797764,France,52.0,2021-02,2025-05,1,[16741],61,temporary stream
48.095486,-1.851841,France,52.0,2021-02,2025-05,1,[16741],53,temporary stream
48.091771,-1.791987,France,52.0,2021-02,2025-05,1,[16741],57,temporary stream
51.585528,-0.874559,United Kingdom,51.0,2020-04,2024-06,1,[27610],110,temporary stream
