user_id,n_spots,spots,weighted_spots
3065,12,"[(47.03009, 7.51161, 'virtual scale', '2020-06-24', '2021-09-01'), (46.990429, 7.450526, 'virtual scale', '2019-09-23', '2020-11-14'), (46.9904, 7.450782, 'virtual scale', '2019-09-23', '2020-11-14'), (46.989099, 7.462622, 'soil moisture', '2019-09-26', '2020-08-30'), (46.9904, 7.450782, 'virtual scale', '2018-10-13', '2019-06-27'), (46.991798, 7.464945, 'temporary stream', '2018-10-13', '2019-06-26'), (47.03009, 7.51161, 'virtual scale', '2018-10-15', '2019-06-27'), (47.03009, 7.51161, 'virtual scale', '2019-09-24', '2020-06-04'), (46.991798, 7.464945, 'temporary stream', '2019-09-26', '2020-06-04'), (46.9904, 7.450782, 'virtual scale', '2020-11-29', '2021-08-07'), (46.990429, 7.450526, 'virtual scale', '2020-11-29', '2021-08-07'), (46.973372, 7.477991, 'physical scale', '2021-01-23', '2021-08-07')]",12.0
35124,31,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07'), (47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07'), (47.391566, 8.557843, 'temporary stream', '2021-01-26', '2022-08-07'), (47.391974, 8.552873, 'virtual scale', '2021-01-26', '2022-08-07'), (47.395183, 8.570167, 'temporary stream', '2021-03-14', '2022-08-07'), (47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07'), (47.390484, 8.560081, 'temporary stream', '2021-03-14', '2022-08-07'), (47.396384, 8.567287, 'temporary stream', '2021-03-14', '2022-08-07'), (47.397035, 8.563857, 'temporary stream', '2021-03-14', '2022-08-07'), (47.395864, 8.554719, 'temporary stream', '2021-03-09', '2022-06-26'), (47.39214, 8.571244, 'temporary stream', '2021-05-11', '2022-08-07'), (47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17'), (47.388274, 8.564053, 'temporary stream', '2021-08-13', '2022-08-07'), (47.388087, 8.563878, 'temporary stream', '2021-08-13', '2022-08-07'), (47.377942, 8.577293, 'temporary stream', '2021-09-26', '2022-08-09'), (47.394035, 8.576515, 'temporary stream', '2021-09-26', '2022-08-09'), (47.378601, 8.582788, 'temporary stream', '2021-09-26', '2022-08-09'), (47.390763, 8.580509, 'temporary stream', '2021-09-26', '2022-08-09'), (47.391408, 8.57954, 'temporary stream', '2021-09-26', '2022-08-09'), (47.383756, 8.578685, 'temporary stream', '2021-09-26', '2022-08-09'), (47.390136, 8.581164, 'temporary stream', '2021-09-26', '2022-08-09'), (47.391318, 8.579599, 'temporary stream', '2021-09-26', '2022-08-09'), (47.381577, 8.577933, 'temporary stream', '2021-09-26', '2022-08-09'), (47.376664, 8.583599, 'temporary stream', '2021-09-26', '2022-08-09'), (47.395954, 8.575262, 'temporary stream', '2021-09-30', '2022-08-09'), (47.394524, 8.576044, 'temporary stream', '2021-09-30', '2022-08-09'), (47.396071, 8.56832, 'temporary stream', '2021-10-07', '2022-08-07')]",10.985
11370,25,"[(47.389403, 8.56156, 'temporary stream', '2020-11-03', '2022-08-07'), (47.38787, 8.563581, 'temporary stream', '2020-11-03', '2022-08-07'), (47.391386, 8.560455, 'temporary stream', '2020-11-03', '2022-08-07'), (47.393323, 8.553011, 'temporary stream', '2020-11-11', '2022-08-07'), (47.391693, 8.555383, 'temporary stream', '2021-01-22', '2022-08-07'), (47.395096, 8.570016, 'temporary stream', '2021-01-26', '2022-08-07'), (47.391566, 8.557843, 'temporary stream', '2021-01-26', '2022-08-07'), (47.395183, 8.570167, 'temporary stream', '2021-03-14', '2022-08-07'), (47.392019, 8.569112, 'temporary stream', '2021-03-14', '2022-08-07'), (47.390484, 8.560081, 'temporary stream', '2021-03-14', '2022-08-07'), (47.396384, 8.567287, 'temporary stream', '2021-03-14', '2022-08-07'), (47.397035, 8.563857, 'temporary stream', '2021-03-14', '2022-08-07'), (47.395864, 8.554719, 'temporary stream', '2021-03-09', '2022-06-26'), (47.39214, 8.571244, 'temporary stream', '2021-05-11', '2022-08-07'), (47.395013, 8.551618, 'temporary stream', '2021-01-26', '2022-02-17'), (47.388274, 8.564053, 'temporary stream', '2021-08-13', '2022-08-07'), (47.388087, 8.563878, 'temporary stream', '2021-08-13', '2022-08-07'), (47.394035, 8.576515, 'temporary stream', '2021-09-26', '2022-08-09'), (47.390763, 8.580509, 'temporary stream', '2021-09-26', '2022-08-09'), (47.391408, 8.57954, 'temporary stream', '2021-09-26', '2022-08-09'), (47.390136, 8.581164, 'temporary stream', '2021-09-26', '2022-08-09'), (47.391318, 8.579599, 'temporary stream', '2021-09-26', '2022-08-09'), (47.395954, 8.575262, 'temporary stream', '2021-09-30', '2022-08-09'), (47.394524, 8.576044, 'temporary stream', '2021-09-30', '2022-08-09'), (47.396071, 8.56832, 'temporary stream', '2021-10-07', '2022-08-07')]",6.342
28919,6,"[(47.394939, 8.733537, 'virtual scale', '2022-07-11', '2024-09-09'), (47.395523, 8.73067, 'virtual scale', '2022-07-11', '2024-09-09'), (47.394939, 8.733537, 'virtual scale', '2020-05-22', '2022-06-22'), (47.395523, 8.73067, 'virtual scale', '2020-11-12', '2022-06-22'), (47.395523, 8.73067, 'virtual scale', '2024-09-24', '2026-04-30'), (47.394939, 8.733537, 'virtual scale', '2024-09-24', '2026-04-30')]",6.0
109461,9,"[(50.332199, 11.75478, 'soil moisture', '2025-09-29', '2026-04-26'), (50.325182, 11.738552, 'physical scale', '2025-09-29', '2026-04-26'), (50.331795, 11.754986, 'virtual scale', '2025-09-29', '2026-04-26'), (50.332202, 11.75482, 'physical scale', '2025-09-29', '2026-04-26'), (50.325226, 11.738534, 'soil moisture', '2025-09-29', '2026-04-26'), (50.325051, 11.738441, 'virtual scale', '2025-09-29', '2026-04-26'), (50.343899, 11.776177, 'temporary stream', '2025-10-04', '2026-04-26'), (50.343263, 11.7755, 'soil moisture', '2025-10-04', '2026-04-26'), (50.343909, 11.776228, 'temporary stream', '2025-10-04', '2026-04-26')]",5.7
29542,6,"[(48.328912, 16.214674, 'temporary stream', '2020-07-28', '2022-07-09'), (48.327366, 16.216394, 'virtual scale', '2020-07-28', '2022-04-27'), (48.34557, 16.239102, 'soil moisture', '2020-09-20', '2022-06-19'), (48.34563, 16.239208, 'soil moisture', '2021-01-05', '2022-06-19'), (48.345657, 16.238686, 'virtual scale', '2020-07-27', '2021-10-14'), (48.345657, 16.238686, 'virtual scale', '2021-10-31', '2022-06-19')]",5.0
31773,4,"[(52.193365, 9.082108, 'temporary stream', '2021-03-21', '2022-09-08'), (52.193365, 9.082108, 'temporary stream', '2023-10-04', '2024-07-01'), (52.193365, 9.082108, 'temporary stream', '2022-09-29', '2023-05-07'), (52.193365, 9.082108, 'temporary stream', '2025-01-02', '2025-08-02')]",4.0
82037,3,"[(44.236064, -69.099955, 'physical scale', '2023-05-15', '2024-11-04'), (44.223495, -69.079544, 'physical scale', '2023-05-16', '2023-12-26'), (44.235586, -69.100391, 'virtual scale', '2023-11-13', '2024-06-03')]",3.0
11290,3,"[(47.985418, 7.959271, 'virtual scale', '2020-06-17', '2021-04-19'), (47.985406, 7.959071, 'virtual scale', '2019-10-07', '2020-06-13'), (47.985406, 7.959071, 'virtual scale', '2019-01-14', '2019-07-31')]",3.0
30178,2,"[(49.375012, 8.888853, 'physical scale', '2020-07-28', '2025-07-24'), (49.375062, 8.889207, 'physical scale', '2020-07-28', '2025-07-24')]",2.0
