user_id,n_spots,spots,weighted_spots
16741,18,"[(48.111849, -1.765761, 'temporary stream', '2021-02', '2025-05'), (48.098138, -1.797764, 'temporary stream', '2021-02', '2025-05'), (48.095486, -1.851841, 'temporary stream', '2021-02', '2025-05'), (48.091771, -1.791987, 'temporary stream', '2021-02', '2025-05'), (48.108776, -1.76325, 'temporary stream', '2021-10', '2025-05'), (48.110065, -1.764881, 'temporary stream', '2021-10', '2025-05'), (48.107407, -1.759009, 'temporary stream', '2021-10', '2025-05'), (48.106765, -1.804526, 'temporary stream', '2022-04', '2025-05'), (48.088347, -1.779942, 'temporary stream', '2022-05', '2025-05'), (48.106979, -1.80085, 'temporary stream', '2022-08', '2025-05'), (48.108266, -1.805726, 'temporary stream', '2022-12', '2025-05'), (48.098572, -1.833989, 'temporary stream', '2023-01', '2025-05'), (48.095959, -1.83748, 'temporary stream', '2023-01', '2025-05'), (48.093881, -1.799795, 'temporary stream', '2021-02', '2023-04'), (48.092295, -1.805945, 'temporary stream', '2021-09', '2023-04'), (48.106979, -1.80085, 'temporary stream', '2021-02', '2022-06'), (48.092295, -1.805945, 'temporary stream', '2023-06', '2024-08'), (48.093881, -1.799795, 'temporary stream', '2023-06', '2024-08')]",18.0
35124,35,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.395864, 8.554719, 'temporary stream', '2020-10', '2024-05'), (47.391566, 8.557843, 'temporary stream', '2020-10', '2024-05'), (47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.395096, 8.570016, 'temporary stream', '2020-11', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05'), (47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05'), (47.395183, 8.570167, 'temporary stream', '2020-12', '2024-05'), (47.390484, 8.560081, 'temporary stream', '2020-12', '2024-05'), (47.397035, 8.563857, 'temporary stream', '2021-01', '2024-05'), (47.39214, 8.571244, 'temporary stream', '2021-05', '2024-05'), (47.388274, 8.564053, 'temporary stream', '2021-08', '2024-05'), (47.388087, 8.563878, 'temporary stream', '2021-08', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06'), (47.396071, 8.56832, 'temporary stream', '2021-10', '2024-05'), (47.391974, 8.552873, 'virtual scale', '2020-11', '2023-06'), (47.392078, 8.571412, 'temporary stream', '2022-02', '2024-05'), (47.395753, 8.568958, 'temporary stream', '2022-04', '2024-05'), (47.394524, 8.576044, 'temporary stream', '2021-09', '2022-11'), (47.383756, 8.578685, 'temporary stream', '2021-09', '2022-11'), (47.381577, 8.577933, 'temporary stream', '2021-09', '2022-11'), (47.391408, 8.57954, 'temporary stream', '2021-09', '2022-11'), (47.377942, 8.577293, 'temporary stream', '2021-09', '2022-11'), (47.391318, 8.579599, 'temporary stream', '2021-09', '2022-11'), (47.394035, 8.576515, 'temporary stream', '2021-09', '2022-11'), (47.390763, 8.580509, 'temporary stream', '2021-09', '2022-11'), (47.390136, 8.581164, 'temporary stream', '2021-09', '2022-11'), (47.378601, 8.582788, 'temporary stream', '2021-09', '2022-11'), (47.376664, 8.583599, 'temporary stream', '2021-09', '2022-11'), (47.395954, 8.575262, 'temporary stream', '2021-09', '2022-11'), (47.39641, 8.572059, 'temporary stream', '2021-10', '2022-11'), (47.391665, 8.559101, 'temporary stream', '2023-04', '2024-05')]",12.89
27610,12,"[(51.580956, -0.87388, 'temporary stream', '2020-04', '2026-04'), (51.608782, -0.881946, 'temporary stream', '2020-04', '2026-04'), (51.574168, -0.871882, 'temporary stream', '2020-04', '2026-04'), (51.602152, -0.880616, 'temporary stream', '2020-04', '2026-04'), (51.602487, -0.880738, 'temporary stream', '2020-04', '2026-04'), (51.562064, -0.867595, 'temporary stream', '2020-04', '2026-04'), (51.581133, -0.873914, 'temporary stream', '2020-04', '2026-04'), (51.571622, -0.870799, 'temporary stream', '2020-04', '2025-12'), (51.585528, -0.874559, 'temporary stream', '2020-04', '2024-06'), (51.558765, -0.868546, 'temporary stream', '2021-03', '2025-01'), (51.567633, -0.868554, 'temporary stream', '2025-03', '2026-04'), (51.567633, -0.868554, 'temporary stream', '2024-01', '2025-01')]",10.5
17235,9,"[(51.546977, -3.26152, 'temporary stream', '2019-12', '2022-01'), (51.546988, -3.261001, 'temporary stream', '2019-12', '2022-01'), (51.546732, -3.264197, 'temporary stream', '2019-12', '2022-01'), (51.547258, -3.260742, 'temporary stream', '2019-12', '2022-01'), (51.540098, -3.264515, 'virtual scale', '2020-04', '2022-01'), (51.549273, -3.259434, 'temporary stream', '2020-08', '2021-10'), (51.546418, -3.274238, 'virtual scale', '2021-01', '2022-01'), (51.545559, -3.274176, 'temporary stream', '2021-01', '2022-01'), (51.544741, -3.273135, 'temporary stream', '2021-02', '2022-01')]",9.0
11370,31,"[(47.395013, 8.551618, 'temporary stream', '2020-09', '2024-05'), (47.395864, 8.554719, 'temporary stream', '2020-10', '2024-05'), (47.391566, 8.557843, 'temporary stream', '2020-10', '2024-05'), (47.389403, 8.56156, 'temporary stream', '2020-10', '2024-05'), (47.391386, 8.560455, 'temporary stream', '2020-10', '2024-05'), (47.395096, 8.570016, 'temporary stream', '2020-11', '2024-05'), (47.38787, 8.563581, 'temporary stream', '2020-11', '2024-05'), (47.392019, 8.569112, 'temporary stream', '2020-11', '2024-05'), (47.396384, 8.567287, 'temporary stream', '2020-11', '2024-05'), (47.395183, 8.570167, 'temporary stream', '2020-12', '2024-05'), (47.390484, 8.560081, 'temporary stream', '2020-12', '2024-05'), (47.397035, 8.563857, 'temporary stream', '2021-01', '2024-05'), (47.39214, 8.571244, 'temporary stream', '2021-05', '2024-05'), (47.388274, 8.564053, 'temporary stream', '2021-08', '2024-05'), (47.388087, 8.563878, 'temporary stream', '2021-08', '2024-05'), (47.393323, 8.553011, 'temporary stream', '2020-10', '2023-06'), (47.391693, 8.555383, 'temporary stream', '2020-10', '2023-06'), (47.396071, 8.56832, 'temporary stream', '2021-10', '2024-05'), (47.391974, 8.552873, 'virtual scale', '2020-11', '2023-06'), (47.392078, 8.571412, 'temporary stream', '2022-02', '2024-05'), (47.395753, 8.568958, 'temporary stream', '2022-04', '2024-05'), (47.394524, 8.576044, 'temporary stream', '2021-09', '2022-11'), (47.391408, 8.57954, 'temporary stream', '2021-09', '2022-11'), (47.391318, 8.579599, 'temporary stream', '2021-09', '2022-11'), (47.396246, 8.547143, 'temporary stream', '2021-02', '2022-04'), (47.39574, 8.547442, 'temporary stream', '2021-02', '2022-04'), (47.394035, 8.576515, 'temporary stream', '2021-09', '2022-11'), (47.390763, 8.580509, 'temporary stream', '2021-09', '2022-11'), (47.390136, 8.581164, 'temporary stream', '2021-09', '2022-11'), (47.395954, 8.575262, 'temporary stream', '2021-09', '2022-11'), (47.39641, 8.572059, 'temporary stream', '2021-10', '2022-11')]",7.537
3065,7,"[(46.9904, 7.450782, 'virtual scale', '2017-09', '2022-02'), (46.991798, 7.464945, 'temporary stream', '2018-03', '2022-02'), (47.03009, 7.51161, 'virtual scale', '2018-06', '2022-02'), (46.989099, 7.462622, 'soil moisture', '2019-01', '2022-02'), (46.990429, 7.450526, 'virtual scale', '2019-08', '2022-02'), (46.996912, 7.437544, 'virtual scale', '2017-09', '2019-06'), (46.973372, 7.477991, 'physical scale', '2020-12', '2022-02')]",7.0
12938,8,"[(39.769733, 2.714927, 'temporary stream', '2019-03', '2020-05'), (39.769167, 2.717064, 'temporary stream', '2019-03', '2020-03'), (39.768207, 2.714873, 'temporary stream', '2019-03', '2020-02'), (39.769743, 2.714959, 'temporary stream', '2019-03', '2020-02'), (39.790712, 2.690237, 'temporary stream', '2019-03', '2020-02'), (39.790791, 2.693782, 'temporary stream', '2019-03', '2020-02'), (39.769792, 2.714966, 'temporary stream', '2019-03', '2020-02'), (39.772332, 2.719648, 'temporary stream', '2019-03', '2020-02')]",7.0
29542,6,"[(48.327366, 16.216394, 'virtual scale', '2020-07', '2023-02'), (48.328912, 16.214674, 'temporary stream', '2020-07', '2023-02'), (48.345657, 16.238686, 'virtual scale', '2020-07', '2023-02'), (48.34557, 16.239102, 'soil moisture', '2020-09', '2023-02'), (48.34563, 16.239208, 'soil moisture', '2021-01', '2022-08'), (48.327996, 16.20749, 'virtual scale', '2021-08', '2022-08')]",5.0
11290,3,"[(47.985418, 7.959271, 'virtual scale', '2021-10', '2023-06'), (47.985406, 7.959071, 'virtual scale', '2019-01', '2020-06'), (47.985418, 7.959271, 'virtual scale', '2020-06', '2021-08')]",3.0
82037,3,"[(44.236064, -69.099955, 'physical scale', '2023-05', '2026-04'), (44.223495, -69.079544, 'physical scale', '2023-05', '2024-08'), (44.235586, -69.100391, 'virtual scale', '2023-06', '2024-08')]",2.5
